id,value,color
RFI,
RFI.Application Function,
RFI.Application Function.Metadata Quality Management Not coverd,0,#EBEDEF
RFI.Application Function.Administration,1,#FF9900
RFI.Application Function.Governance,2,#005F0F
RFI.Application Function.Reference metadata management,2,#005F0F
RFI.Application Function.Acquisition,
RFI.Application Function.Acquisition.Data classficiation ,2,#005F0F
RFI.Application Function.Acquisition.Data dictionary ,1.85,#6DB33F
RFI.Application Function.Acquisition.Data glossary ,2,#005F0F
RFI.Application Function.Acquisition.Data usage ,2,#005F0F
RFI.Application Function.Acquisition.Issue,2,#005F0F
RFI.Application Function.Acquisition.Metadata association,2,#005F0F
RFI.Application Function.Acquisition.Metadata inference,1.8,#6DB33F
RFI.Application Function.Acquisition.Other,2,#005F0F
RFI.Application Function.Acquisition.Rule & Policy ,2,#005F0F
RFI.Application Function.Data ingestion & distribution,
RFI.Application Function.Data ingestion & distribution.API & Webservice,1,#FF9900
RFI.Application Function.Data ingestion & distribution.Manual upload or download,1.25,#D6BA33
RFI.Application Function.Data ingestion & distribution.Query execution,1.36,#D6BA33
RFI.Application Function.Access management,
RFI.Application Function.Access management.Metadata usage tracking,1,#FF9900
RFI.Application Function.Access management.Search,2,#005F0F
RFI.Application Function.Reporting,
RFI.Application Function.Reporting.Data quality reporting,2,#005F0F
RFI.Application Function.Reporting.Metadata Activities monitoring Not covered,0,#EBEDEF
RFI.Application Function.Reporting.Governance reporting,2,#005F0F
RFI.Application Function.Reporting.Other,1,#FF9900
