id,value,color
RFI,
RFI.Application Function,
RFI.Application Function.Metadata Quality Management,2,#005F0F
RFI.Application Function.Administration,2,#005F0F
RFI.Application Function.Governance,2,#005F0F
RFI.Application Function.Reference metadata management,2,#005F0F
RFI.Application Function.Acquisition,
RFI.Application Function.Acquisition.Data classficiation,2,#005F0F
RFI.Application Function.Acquisition.Data dictionary,2,#005F0F
RFI.Application Function.Acquisition.Data glossary,2,#005F0F
RFI.Application Function.Acquisition.Data usage,2,#005F0F
RFI.Application Function.Acquisition.Issue,2,#005F0F
RFI.Application Function.Acquisition.Metadata association,2,#005F0F
RFI.Application Function.Acquisition.Metadata inference,1.8,#6DB33F
RFI.Application Function.Acquisition.Other,2,#005F0F
RFI.Application Function.Acquisition.Rule & Policy ,2,#005F0F
RFI.Application Function.Data ingestion & distribution,
RFI.Application Function.Data ingestion & distribution.API & Webservice,2,#005F0F
RFI.Application Function.Data ingestion & distribution.Manual upload or download,2,#005F0F
RFI.Application Function.Data ingestion & distribution.Query execution,1.86,#6DB33F
RFI.Application Function.Access management,
RFI.Application Function.Access management.Metadata usage tracking,2,#005F0F
RFI.Application Function.Access management.Search,1.6,#6DB33F
RFI.Application Function.Reporting,
RFI.Application Function.Reporting.Data quality reporting,2,#005F0F
RFI.Application Function.Reporting.Metadata Activities monitoring,2,#005F0F
RFI.Application Function.Reporting.Governance reporting,1,#D6BA33
RFI.Application Function.Reporting.Other,1.8,#6DB33F
